relationship_id,source_kind,source_id,relation,target_kind,target_id,authority,evidence_ids,certainty,notes
R022,entity,E05,references,entity,E06,content,"AN-003;AN-004",analysis,"技能定义引用时间线"
R023,entity,E05,references,entity,E24,content,"AN-003;AN-004",analysis,"技能定义引用目标规则"
R024,entity,E06,emits,system,M34,presentation,"AN-004;AN-006;AN-007",analysis,"时间线触发表现事件"
R025,page,P08_CHARACTER_GROWTH,updates,entity,E04,backend,"AN-002;AN-003;SH-004",analysis,"养成请求成功后返回角色实例更新"
R026,page,P08_CHARACTER_GROWTH,consumes,entity,E14,backend,"AN-002;AN-003",inference,"正式养成成本由后端校验"
R027,page,P08_CHARACTER_GROWTH,consumes,entity,E15,backend,"AN-002;AN-003",inference,"正式养成材料由后端校验"
R028,page,P09_EQUIPMENT,assigns,entity,E08,backend,"AN-001;AN-003",analysis,"装备页提交穿戴或强化意图"
R029,entity,E08,references,entity,E07,content,"AN-003",analysis,"装备实例引用静态装备定义"
R030,page,P11_FORMATION,writes,entity,E09,hybrid,"AN-002;AN-003;SH-005",analysis,"编成页保存通过校验的固定槽位"
R031,entity,E09,references,entity,E04,hybrid,"AN-003",analysis,"队伍槽位引用拥有角色实例"
R032,page,P12_STAGE_MAP,reads,entity,E10,content,"AN-002;AN-003",analysis,"关卡页读取章节、敌人和奖励预览"
R033,page,P12_STAGE_MAP,routes_to,page,P11_FORMATION,presentation,"AN-002",analysis,"进入战斗前选择或确认队伍"
R034,entity,E10,references,entity,E11,content,"AN-003",analysis,"关卡定义引用敌人组"
R035,page,P11_FORMATION,creates,entity,E19,hybrid,"AN-002;AN-004",inference,"合法编成和关卡形成战斗上下文"
R036,system,M17,consumes,entity,E19,hybrid,"AN-003;AN-004;AN-007",analysis,"战斗核心读取模式、种子和单位"
R037,system,M17,produces,entity,E20,hybrid,"AN-003;AN-004",analysis,"确定性模拟产生结果"
R038,entity,E20,requests,entity,E21,backend,"AN-002;AN-003;AN-004",inference,"正式奖励需后端验证结果"
R039,entity,E21,updates,entity,E14,backend,"AN-002;AN-003",analysis,"奖励可更新货币"
R040,entity,E21,updates,entity,E15,backend,"AN-002;AN-003",analysis,"奖励可更新物品"
R041,entity,E21,updates,entity,E16,backend,"AN-002;AN-003",inference,"战斗事件可推进任务"
R042,page,P14_BATTLE_RESULT,presents,entity,E20,presentation,"AN-002;AN-004",analysis,"结果页展示胜负与统计"
R043,page,P14_BATTLE_RESULT,presents,entity,E21,presentation,"AN-002;AN-004",analysis,"结果页展示已验证奖励"
R044,page,P15_GACHA,reads,entity,E12,content,"AN-003;AN-005;LV-005",analysis,"抽取页读取池主题和可用窗口"
R045,page,P16_PROBABILITY,reads,entity,E13,presentation,"AN-005;LV-006",analysis,"概率页只读展示规则配置"
R046,entity,E12,references,entity,E13,backend,"AN-003;AN-005",analysis,"横幅连接后端权威池"
R047,system,M14,validates,entity,E14,backend,"AN-005",analysis,"抽取前校验货币或票券"
R048,system,M14,updates,entity,E22,backend,"AN-003;AN-005",analysis,"抽取后更新保底计数"
R049,system,M14,creates,entity,E04,backend,"AN-002;AN-005",analysis,"新角色结果创建玩家角色实例"
R050,system,M14,updates,entity,E15,backend,"AN-002;AN-005",analysis,"重复结果按原创规则转化为物品"
R051,page,P17_GACHA_RESULT,presents,system,M14,presentation,"AN-002;AN-005",analysis,"结果页按返回顺序揭示，不重算结果"
R052,page,P18_INVENTORY,reads,entity,E14,hybrid,"AN-003;AN-007",analysis,"背包显示权威余额缓存"
R053,page,P18_INVENTORY,reads,entity,E15,hybrid,"AN-003;AN-007",analysis,"背包显示物品堆叠"
R054,page,P19_SHOP,reads,entity,E18,backend,"AN-003;AN-007",analysis,"商店读取商品和可购买条件"
R055,entity,E18,consumes,entity,E14,backend,"AN-003",analysis,"非现金商品由后端扣除货币"
R056,system,M26,verifies,entity,E18,backend,"AN-001;AN-005;AN-007",analysis,"现金商品需平台回执和后端验单"
R057,page,P20_TASKS,reads,entity,E16,hybrid,"AN-002;AN-003",analysis,"任务页显示目标和进度"
R058,page,P21_EVENTS_DAILY,reads,entity,E17,hybrid,"AN-002;AN-003",analysis,"活动页按时间窗口筛选内容"
R059,page,P22_MAIL,grants,entity,E21,backend,"AN-001;AN-007",analysis,"邮件附件领取必须幂等并由后端授予"
R060,page,P23_ARENA_RANK,consumes,entity,E09,backend,"AN-001;AN-003",analysis,"竞技使用独立模式队伍"
R061,system,M28,reads,entity,E02,backend,"AN-001",analysis,"排行榜关联可展示玩家档案摘要"
R062,system,M36,produces,entity,E03,content,"AN-006;AN-007",analysis,"原创角色管线产出角色定义和资源引用"
R063,system,M36,produces,entity,E05,content,"AN-006;AN-007",analysis,"原创角色管线连接技能定义"
R064,system,M36,registers,entity,E25,content,"AN-006;AN-007",analysis,"通过验证的角色资产进入内容目录"
R065,system,M04,presents,page,P03_SERVER_SELECT,client,"AN-001;AN-002",analysis,"服务区模块向可选选择页提供中性列表状态"
R066,page,P05_PROFILE_SETTINGS,configures,system,M05,client,"AN-001;AN-007",analysis,"设置页承载语言选择并触发本地化刷新"
R067,system,M06,presents,page,P04_HOME,presentation,"AN-001;AN-002;LV-001",analysis,"导航系统维护首页功能路由和可见入口"
R068,system,M07,reads,entity,E02,hybrid,"AN-001;AN-003;AN-007",analysis,"玩家档案模块读取后端快照的客户端缓存"
R069,system,M09,composes,page,P07_CHARACTER_DETAIL,presentation,"AN-001;AN-003;LV-003",analysis,"属性模块为详情页组合静态与动态读模型"
R070,system,M10,serves,page,P08_CHARACTER_GROWTH,hybrid,"AN-001;AN-002;AN-003;SH-004",analysis,"养成模块提供预览并提交状态变更意图"
R071,system,M11,serves,page,P09_EQUIPMENT,hybrid,"AN-001;AN-003",analysis,"装备模块向装备页提供定义、实例和兼容性"
R072,system,M12,resolves,entity,E05,hybrid,"AN-001;AN-003;AN-004",analysis,"技能系统读取技能定义并在战斗中解析"
R073,system,M13,validates,entity,E09,hybrid,"AN-001;AN-002;AN-003",analysis,"编成系统校验槽位、拥有状态和模式限制"
R074,system,M15,owns,entity,E15,backend,"AN-001;AN-003;AN-007",inference,"正式背包状态由后端维护，客户端使用缓存"
R075,system,M18,presents,page,P14_BATTLE_RESULT,presentation,"AN-001;AN-002;AN-004",analysis,"结算系统把已确认结果交给结果页呈现"
R076,system,M19,serves,page,P23_ARENA_RANK,backend,"AN-001;AN-003",analysis,"竞技模块提供对手、结果和排行读模型"
R077,system,M21,specializes,entity,E16,backend,"AN-001;AN-003",inference,"成就可建模为不重置的长期任务记录"
R078,system,M22,reads,entity,E26,backend,"AN-001;AN-002;AN-003",analysis,"每日与日历模块依据后端重置状态计算资格"
R079,system,M24,serves,page,P22_MAIL,backend,"AN-001;AN-007",analysis,"邮件模块向邮箱页提供消息和附件状态"
R080,system,M25,serves,page,P19_SHOP,backend,"AN-001;AN-003;AN-007",analysis,"商店模块提供商品、成本和可购买条件"
R081,system,M27,serves,page,P24_GUILD_SOCIAL,backend,"AN-001",analysis,"组织模块为社交页提供成员与活动状态"
R082,system,M29,serves,page,P05_PROFILE_SETTINGS,hybrid,"AN-001;AN-002",analysis,"设置模块提供本地偏好和高风险账号意图入口"
R083,system,M30,contributes_to,page,P24_GUILD_SOCIAL,backend,"AN-001",analysis,"好友与聊天模块构成社交页的关系和消息部分"
R084,system,M31,guides,page,P25_NOTICE_GUIDE,client,"AN-001;AN-003",analysis,"引导模块在支持页和界面覆盖层呈现步骤"
R085,system,M32,presents,page,P25_NOTICE_GUIDE,hybrid,"AN-001;AN-002",analysis,"公告模块向支持页提供只读通知内容"
R086,system,M33,observes,system,M01,hybrid,"AN-001;AN-007",analysis,"日志模块记录启动错误和关键生命周期事件"
R087,system,M35,uses,entity,E10,hybrid,"AN-001;AN-003",inference,"世界策略子系统可复用版本化地图或阶段定义"
R088,page,P13_BATTLE,presents,system,M17,presentation,"AN-002;AN-004;AN-007",analysis,"战斗页订阅模拟事件并展示运行状态"
R089,system,M12,applies,entity,E23,hybrid,"AN-003;AN-004",analysis,"技能系统按定义施加和刷新状态效果"
